s,a,r,sp
6E575_41,w,0.0,6E575_40
6E575_42,b,18.275306151861315,travel
6E575_42,w,0.0,6E575_41
6E575_43,b,15.19408170579624,travel
6E575_43,w,0.0,6E575_42
6E575_44,b,14.997113807117877,travel
6E575_44,w,0.0,6E575_43
6E575_45,b,16.185429003888686,travel
6E575_45,w,0.0,6E575_44
6E575_46,b,16.185429003888686,travel
6E575_46,w,0.0,6E575_45
6E575_47,b,18.7961315325335,travel
6E575_47,w,0.0,6E575_46
6E575_48,b,16.453985704251124,travel
6E575_48,w,0.0,6E575_47
6E575_49,b,17.062958074797546,travel
6E575_49,w,0.0,6E575_48
6E575_5,b,18.292723130703422,travel
6E575_5,w,0.0,6E575_4
6E575_6,b,14.280719423123802,travel
6E575_6,w,0.0,6E575_5
6E575_7,b,19.389796697690706,travel
6E575_7,w,0.0,6E575_6
6E575_8,b,15.825503100652648,travel
6E575_8,w,0.0,6E575_7
6E575_9,b,16.69404477007366,travel
6E575_9,w,0.0,6E575_8
6E6012_0,b,6.800291982340064,travel
6E6012_1,b,15.614133624252167,travel
6E6012_1,w,0.0,6E6012_0
6E6012_10,b,20.337424290297168,travel
6E6012_10,w,0.0,6E6012_9
6E6012_11,b,20.337424290297168,travel
6E6012_11,w,0.0,6E6012_10
6E6012_12,b,15.591832264702338,travel
6E6012_12,w,0.0,6E6012_11
6E6012_13,b,12.348728081007657,travel
6E6012_13,w,0.0,6E6012_12
6E6012_14,b,13.462574044157243,travel
6E6012_14,w,0.0,6E6012_13
6E6012_15,b,15.54001554001554,travel
6E6012_15,w,0.0,6E6012_14
6E6012_16,b,14.42169022209403,travel
6E6012_16,w,0.0,6E6012_15
6E6012_17,b,11.675423234092236,travel
6E6012_17,w,0.0,6E6012_16
6E6012_18,b,15.158405335758678,travel
6E6012_18,w,0.0,6E6012_17
6E6012_19,b,15.304560759106213,travel
6E6012_19,w,0.0,6E6012_18
6E6012_2,b,14.033883645720982,travel
6E6012_2,w,0.0,6E6012_1
6E6012_20,b,17.13796058269066,travel
6E6012_20,w,0.0,6E6012_19
6E6012_21,b,18.115942028985508,travel
6E6012_21,w,0.0,6E6012_20
6E6012_22,b,19.73164956590371,travel
6E6012_22,w,0.0,6E6012_21
6E6012_23,b,13.956734124214934,travel
6E6012_23,w,0.0,6E6012_22
6E6012_24,b,17.40341106856944,travel
6E6012_24,w,0.0,6E6012_23
6E6012_25,b,14.932059130954158,travel
6E6012_25,w,0.0,6E6012_24
6E6012_26,b,17.711654268508678,travel
6E6012_26,w,0.0,6E6012_25
6E6012_27,b,14.932059130954158,travel
6E6012_27,w,0.0,6E6012_26
6E6012_28,b,16.572754391779913,travel
6E6012_28,w,0.0,6E6012_27
6E6012_29,b,18.115942028985508,travel
6E6012_29,w,0.0,6E6012_28
6E6012_3,b,12.111224945975772,travel
6E6012_3,w,0.0,6E6012_2
6E6012_30,b,18.115942028985508,travel
6E6012_30,w,0.0,6E6012_29
6E6012_31,b,15.785319652722968,travel
6E6012_31,w,0.0,6E6012_30
6E6012_32,b,17.590149516270888,travel
6E6012_32,w,0.0,6E6012_31
6E6012_33,b,17.590149516270888,travel
6E6012_33,w,0.0,6E6012_32
6E6012_34,b,13.956734124214934,travel
6E6012_34,w,0.0,6E6012_33
6E6012_35,b,17.13796058269066,travel
6E6012_35,w,0.0,6E6012_34
6E6012_36,b,14.42169022209403,travel
6E6012_36,w,0.0,6E6012_35
6E6012_37,b,18.6219739292365,travel
6E6012_37,w,0.0,6E6012_36
6E6012_38,b,15.785319652722968,travel
6E6012_38,w,0.0,6E6012_37
6E6012_39,b,15.158405335758678,travel
6E6012_39,w,0.0,6E6012_38
6E6012_4,b,14.033883645720982,travel
6E6012_4,w,0.0,6E6012_3
6E6012_40,b,16.815200941651252,travel
6E6012_40,w,0.0,6E6012_39
6E6012_41,b,15.158405335758678,travel
6E6012_41,w,0.0,6E6012_40
6E6012_42,b,14.932059130954158,travel
6E6012_42,w,0.0,6E6012_41
6E6012_43,b,17.755681818181817,travel
6E6012_43,w,0.0,6E6012_42
6E6012_44,b,15.88057805304113,travel
6E6012_44,w,0.0,6E6012_43
6E6012_45,b,14.932059130954158,travel
6E6012_45,w,0.0,6E6012_44
6E6012_46,b,15.158405335758678,travel
6E6012_46,w,0.0,6E6012_45
6E6012_47,b,17.40341106856944,travel
6E6012_47,w,0.0,6E6012_46
6E6012_48,b,15.158405335758678,travel
